,username,num_of_questions_answered,num_of_correct_answers,num_of_explanations,num_of_lectures,devicesUsed,confidence_level,payments,duration,accuracy,mixed_cols,combined_metric
0,u100043,605,264,412,22,web,24,1,8640000000,0.43636363636363634,0.06361354313353333,0.21271358042557456
1,u10019,1761,1412,1766,3,web,105,0,0,0.8018171493469619,0.21612685973183127,0.45040297557788356
2,u10020,169,115,119,2,Unknown,19,1,15552000000,0.6804733727810651,0.017755464397232596,0.2828426277507656
3,u10021,136,96,114,1,Unknown,3,2,28080000000,0.7058823529411765,0.015367660564501317,0.29157353751517145
4,u10026,60,42,65,3,mobile,48,1,2592000000,0.7,0.007836894630502663,0.2847021367783016
5,u10030,179,127,148,5,Unknown,20,1,4320000000,0.7094972067039106,0.02032694544786628,0.295995049950284
6,u10032,306,183,303,48,Unknown,0,1,15552000000,0.5980392156862745,0.040225310720626954,0.263350872706886
7,u10033,0,0,1,0,Unknown,0,1,15552000000,,6.122573930080205e-05,
8,u10037,6,3,0,0,mobile,0,0,0,0.5,0.00036735443580481234,0.2002204126614829
9,u10046,6,4,0,0,web,1,0,0,0.6666666666666666,0.00036735443580481234,0.26688707932814953
10,u10052,1359,1000,1350,25,mobile,4,0,0,0.7358351729212657,0.1673911712483928,0.394768771917542
11,u1008,96,75,96,2,mobile,1,0,0,0.78125,0.011877793424355599,0.31962667605461337
12,u10085,11,6,6,0,web,4,1,6480000000,0.5454545454545454,0.0010408375681136349,0.21880632072268635
13,u1009,31,17,76,3,mobile,1,0,0,0.5483870967741935,0.0067348313230882265,0.22339573750353037
14,u10090,17,8,15,0,Unknown,0,1,8640000000,0.47058823529411764,0.0019592236576256657,0.18941082831222245
15,u10141,6,2,0,0,web,0,0,0,0.3333333333333333,0.00036735443580481234,0.13355374599481623
16,u10143,698,428,766,10,mobile,493,0,0,0.6131805157593123,0.09024673972938223,0.29942025014135426
17,u10147,3317,2336,2872,173,Unknown,1958,3,14688000000,0.7042508290624058,0.3895181534317027,0.515411223683984
18,u10150,135,96,137,4,mobile,0,0,0,0.7111111111111111,0.01689830404702137,0.29458342687265726
19,u10151,381,242,386,2,web,1,0,0,0.6351706036745407,0.04708259352231678,0.28231779758320635
20,u10153,17,11,10,0,mobile,0,0,0,0.6470588235294118,0.0016530949611216555,0.2598153863884377
21,u10155,89,58,83,12,mobile,0,1,8640000000,0.651685393258427,0.011265536031347579,0.26743347892217934
22,u10156,40,32,31,15,mobile,1,1,8640000000,0.8,0.005265413579868977,0.32315924814792146
23,u10178,134,78,125,3,Unknown,0,2,24192000000,0.582089552238806,0.016041143696810138,0.24246050711360848
24,u10179,197,104,197,2,mobile,73,0,0,0.5279187817258884,0.024245392763117615,0.2257147483482259
25,u1018,12,4,4,1,mobile,0,0,0,0.3333333333333333,0.0010408375681136349,0.13395783587420151
26,u10180,17,9,10,1,mobile,4,0,0,0.5294117647058824,0.0017143207004224575,0.21279329830260643
27,u10181,1113,829,1082,29,web,652,1,8640000000,0.7448337825696316,0.13616604420498377,0.3796331395508429
28,u10182,402,248,349,19,Unknown,0,1,8640000000,0.6169154228855721,0.047143819261617585,0.27505246071119943
29,u10183,1462,934,761,5,mobile,47,2,6912000000,0.6388508891928865,0.136410947162187,0.3373869239744668
30,u1019,1037,584,989,25,mobile,4,1,15552000000,0.5631629701060752,0.12557399130594502,0.3006095828259971
31,u1020,356,191,285,11,mobile,1,2,6912000000,0.5365168539325843,0.039919182024122944,0.23855825078750748
32,u10208,80,43,76,2,mobile,4,0,0,0.5375,0.009673666809526724,0.22080420008571602
33,u10209,1466,1020,1507,2,mobile,180,1,8640000000,0.6957708049113234,0.18214657441988613,0.38759626661646107
34,u1021,72,49,79,6,mobile,66,1,8640000000,0.6805555555555556,0.009612441070225923,0.2779896868643578
35,u102122,193,143,203,2,mobile,20,0,0,0.7409326424870466,0.024367844241719217,0.31099376353985014
36,u10218,7,0,0,0,mobile,0,0,0,0.0,0.0004285801751056144,0.0002571481050633686
