,question_id,bundle_id,explanation_id,correct_answer,part,tags,deployed_at,correct_flag,question_flag,accuracy
0,q1,b1,e1,b,1,1;2;179;181,1.55809E+12,196,229,0.855895197
1,q2,b2,e2,a,1,15;2;182,1.55809E+12,192,215,0.893023256
2,q3,b3,e3,b,1,14;2;179;183,1.55809E+12,824,1601,0.514678326
3,q4,b4,e4,b,1,9;2;179;184,1.55809E+12,519,693,0.748917749
4,q5,b5,e5,c,1,8;2;179;181,1.55809E+12,317,810,0.391358025
5,q6,b6,e6,d,1,9;2;179;182,1.55809E+12,183,273,0.67032967
6,q7,b7,e7,d,1,11;7;179;183,1.55809E+12,636,1524,0.417322835
7,q8,b8,e8,b,1,20;21;179;184,1.55809E+12,406,500,0.812
8,q9,b9,e9,c,1,13;2;179;183,1.55809E+12,197,241,0.817427386
9,q10,b10,e10,c,1,17;7;182,1.55809E+12,473,1466,0.322646658
10,q11,b11,e11,b,1,15;2;181,1.51456E+12,744,1149,0.647519582
11,q12,b12,e12,c,1,1;2;182,1.51456E+12,145,184,0.788043478
12,q13,b13,e13,a,1,1;2;183,1.51456E+12,494,647,0.763523957
13,q14,b14,e14,a,1,8;2;184,1.51456E+12,246,283,0.869257951
14,q15,b15,e15,d,1,14;2;181,1.51456E+12,305,494,0.617408907
15,q16,b16,e16,c,1,20;21;182,1.51456E+12,396,608,0.651315789
16,q18,b18,e18,b,1,5;2;179;184,1.51456E+12,204,266,0.766917293
17,q19,b19,e19,a,1,20;21;183,1.51456E+12,461,607,0.759472817
18,q20,b20,e20,b,1,10;7;179;182,1.51456E+12,274,347,0.78962536
19,q21,b21,e21,d,1,9;2;179;181,1.56869E+12,76,100,0.76
20,q22,b22,e22,c,1,6;7;179;182,1.56869E+12,234,329,0.711246201
21,q23,b23,e23,d,1,8;2;183,1.56869E+12,139,217,0.640552995
22,q24,b24,e24,a,1,6;7;184,1.56869E+12,179,269,0.665427509
23,q25,b25,e25,c,1,6;7;181,1.56869E+12,358,675,0.53037037
24,q26,b26,e26,a,1,6;7;182,1.56869E+12,267,305,0.875409836
25,q27,b27,e27,a,1,4;2;179;183,1.56869E+12,211,269,0.784386617
26,q28,b28,e28,a,1,6;7;184,1.56869E+12,228,351,0.64957265
27,q29,b29,e29,d,1,4;2;183,1.56869E+12,387,739,0.52368065
28,q31,b31,e31,b,1,1;2;179;181,1.51456E+12,202,253,0.798418972
29,q32,b32,e32,a,1,3;2;179;182,1.51456E+12,247,289,0.85467128
30,q33,b33,e33,c,1,4;2;179;183,1.51456E+12,213,261,0.816091954
31,q34,b34,e34,b,1,5;2;179;181,1.51456E+12,224,296,0.756756757
32,q35,b35,e35,a,1,6;7;183,1.51456E+12,325,498,0.652610442
33,q36,b36,e36,b,1,8;2;182,1.51456E+12,233,289,0.806228374
34,q37,b37,e37,c,1,9;2;179;181,1.51456E+12,249,308,0.808441558
35,q38,b38,e38,a,1,3;2;182,1.51456E+12,368,462,0.796536797
36,q39,b39,e39,b,1,10;7;179;183,1.51456E+12,303,332,0.912650602
37,q40,b40,e40,b,1,11;7;181,1.51456E+12,634,1113,0.569631626
38,q41,b41,e41,d,1,4;2;181,1.51456E+12,144,234,0.615384615
39,q42,b42,e42,b,1,5;2;179;182,1.51456E+12,90,96,0.9375
40,q43,b43,e43,a,1,16;2;183,1.51456E+12,131,144,0.909722222
41,q44,b44,e44,d,1,13;2;179;184,1.51456E+12,139,199,0.698492462
42,q45,b45,e45,d,1,6;7;181,1.51456E+12,135,175,0.771428571
43,q46,b46,e46,a,1,17;7;179;182,1.51456E+12,498,775,0.642580645
